196,285,5,881251753
267,622,3,878974077
441,300,3,891035056
629,435,4,880116756
363,933,2,891498920
805,420,4,881695560
627,4,2,879531248
213,117,4,878870987
707,479,3,886286092
389,286,2,879915633
472,501,3,875982868
736,246,4,878708929
211,275,2,879460096
711,91,4,879994413
95,51,4,879198353
412,288,4,879716566
369,919,5,889428642
711,909,4,889911007
393,789,1,887746015
41,289,2,890686673
711,70,5,879993824
450,127,5,882373155
215,234,4,891435655
85,622,3,882995833
250,144,4,878092059
224,191,4,888082468
848,427,5,887039136
199,9,5,883782853
698,172,5,886367100
22,62,4,878887925
374,9,1,880393056
59,59,5,888204928
896,482,3,887158359
128,1063,2,879967047
567,654,5,882425701
671,1597,1,884035892
130,252,5,876250932
393,404,3,889728713
757,658,2,888467765
187,214,4,879465632
709,227,2,879848551
846,1018,4,883949421
779,195,5,875999211
717,262,4,884641621
588,755,3,890025797
505,133,5,889334189
417,62,3,879648939
244,265,4,880606634
767,921,5,891462717
279,1485,4,878262195
532,531,5,893119491
864,91,5,888887172
638,435,3,876694787
190,546,3,891626000
562,483,4,879195954
456,431,4,881374437
280,13,5,891700257
713,300,2,888881939
690,53,2,881180005
297,275,5,874954260
378,509,4,880055672
567,293,5,882427250
303,294,4,879466116
49,256,4,888066215
890,135,5,882405546
693,576,2,875484148
429,640,3,882386533
30,1013,3,875060334
291,1220,5,874868382
472,356,3,875983231
343,655,5,876405697
102,1030,1,892994075
537,215,3,886031342
889,291,3,880182815
49,182,3,888069416
865,302,5,880142614
798,173,5,875656071
655,280,2,888474490
455,1171,3,882141702
682,85,3,888521833
407,423,4,876340001
804,671,3,879445493
521,72,3,885254323
653,1228,2,880153378
210,1118,4,887730496
757,732,3,888467829
890,636,3,882404879
758,529,4,881979609
899,29,2,884122844
683,321,5,893286207
927,294,5,879199250
110,1055,2,886988134
222,140,1,881060062
805,161,1,881694823
135,943,3,879857931
393,1034,2,889731413
514,189,5,875318291
761,1,1,876190094
851,336,4,890804691
448,896,5,891887216
401,243,3,891031867
488,208,4,891294298
60,593,5,883326185
813,300,4,883752331
470,475,4,879178568
354,527,4,891217394
796,91,2,893219033
201,210,2,884111270
479,127,5,879460192
805,412,3,881705592
13,167,4,882141659
642,732,4,885605538
283,1114,5,879297545
370,835,5,879434909
484,315,3,883973609
235,52,4,889656168
392,269,5,891037385
429,180,5,882385464
887,98,3,881379345
488,776,4,891294298
667,435,3,891035104
41,195,4,890687042
13,750,5,883670552
23,173,5,874787587
545,266,2,879898447
63,1028,3,875748198
299,171,4,877880961
92,72,3,875658159
454,463,2,888267560
943,215,5,888639000
788,451,4,880871240
481,430,4,885829196
